description,slide_number,image_file,set,valence_mean,valence_sd,arousal_mean,arousal_sd,category
Snake,1050,1050.jpg,6,3.46,2.15,6.87,1.68,negative
Snake,1052,1052.jpg,11,3.5,1.87,6.52,2.23,negative
Snake,1090,1090.jpg,2,3.7,1.9,5.88,2.15,negative
Snakes,1111,1111.jpg,7,3.25,1.64,5.2,2.25,negative
Spider,1201,1201.jpg,7,3.55,1.88,6.36,2.11,negative
Spider,1202,1202.jpg,20,3.35,1.77,5.94,2.17,negative
Spider,1205,1205.jpg,14,3.65,1.76,5.79,2.18,negative
Spider,1220,1220.jpg,1,3.47,1.82,5.57,2.34,negative
Roach,1270,1270.jpg,4,3.68,1.85,4.77,2.44,negative
Roaches,1271,1271.jpg,19,3.19,1.64,5.37,2.44,negative
Roaches,1274,1274.jpg,5,3.17,1.53,5.39,2.39,negative
Roaches,1275,1275.jpg,6,3.3,1.65,4.81,2.22,negative
Rat,1280,1280.jpg,4,3.66,1.75,4.93,2.01,negative
PitBull,1300,1300.jpg,3,3.55,1.78,6.79,1.84,negative
Attackdog,1304,1304.jpg,17,3.37,1.58,6.37,1.93,negative
AttackDog,1525,1525.jpg,13,3.09,1.72,6.51,2.25,negative
Woman,2039,2039.jpg,18,3.65,1.44,3.46,1.94,negative
ManInPool,2055.1,2055.1.jpg,14,3.15,1.84,4.95,2.11,negative
AngryFace,2110,2110.jpg,1,3.71,1.82,4.53,2.25,negative
AngryFace,2120,2120.jpg,1,3.34,1.91,5.18,2.52,negative
Hospital,2205,2205.jpg,6,1.95,1.58,4.53,2.23,negative
Kids,2278,2278.jpg,14,3.36,1.57,4.55,2.02,negative
KidCry,2301,2301.jpg,17,2.78,1.38,4.57,1.96,negative
Mother,2312,2312.jpg,12,3.71,1.64,4.02,1.66,negative
SmilingKids,2345.1,2345.1.jpg,17,2.26,1.46,5.5,2.34,negative
SadGirls,2455,2455.jpg,13,2.96,1.79,4.46,2.12,negative
CryingFamily,2456,2456.jpg,18,2.84,1.27,4.55,2.16,negative
CryingBoy,2457,2457.jpg,19,3.2,1.51,4.94,2.01,negative
Man,2490,2490.jpg,5,3.32,1.82,3.95,2,negative
ElderlyWoman,2590,2590.jpg,5,3.26,1.92,3.93,1.94,negative
War,2683,2683.jpg,13,2.62,1.78,6.21,2.15,negative
Hunters,2688,2688.jpg,14,2.73,2.07,5.98,2.22,negative
Riot,2691,2691.jpg,7,3.04,1.73,5.85,2.03,negative
Bomb,2692,2692.jpg,10,3.36,1.61,5.35,2.19,negative
Police,2694,2694.jpg,13,3.55,1.72,5.05,2.16,negative
Woman,2700,2700.jpg,4,3.19,1.56,4.77,1.97,negative
SadChildren,2703,2703.jpg,16,1.91,1.26,5.78,2.25,negative
DrugAddict,2710,2710.jpg,4,2.52,1.69,5.46,2.29,negative
Smoking,2715,2715.jpg,13,3.28,1.95,4.35,2.27,negative
DrugAddict,2718,2718.jpg,15,3.65,1.58,4.46,2.03,negative
Jail,2722,2722.jpg,9,3.47,1.65,3.52,2.05,negative
Bum,2750,2750.jpg,6,2.56,1.32,4.31,1.81,negative
DrunkDriving,2751,2751.jpg,9,2.67,1.87,5.18,2.39,negative
Gun,2811,2811.jpg,15,2.17,1.38,6.9,2.22,negative
CryingBoy,2900,2900.jpg,5,2.45,1.42,5.09,2.15,negative
CryingBoy,2900.1,2900.1.jpg,11,2.56,1.41,4.61,2.07,negative
DeerHead,2981,2981.jpg,14,2.76,1.94,5.97,2.12,negative
HeadlessBody,3001,3001.jpg,18,1.62,1.14,6.64,2.54,negative
Mutilation,3016,3016.jpg,16,1.9,1.31,5.82,2.44,negative
Mutilation,3017,3017.jpg,15,2.45,1.35,5.34,2.39,negative
Scream,3022,3022.jpg,12,3.7,1.91,5.88,2.08,negative
Mutilation,3030,3030.jpg,1,1.91,1.56,6.76,2.1,negative
BurntFace,3101,3101.jpg,14,1.91,1.19,5.6,2.46,negative
Injury,3103,3103.jpg,18,2.07,1.27,6.06,2.3,negative
BabyTumor,3170,3170.jpg,3,1.46,1.01,7.21,1.99,negative
BatteredFem,3180,3180.jpg,4,1.92,1.13,5.77,2.21,negative
BatteredFem,3181,3181.jpg,11,2.3,1.43,5.06,2.11,negative
Stitches,3185,3185.jpg,18,2.81,1.52,5.48,2.18,negative
Stitches,3195,3195.jpg,20,2.06,1.23,6.36,2.25,negative
Surgery,3212,3212.jpg,19,2.79,1.67,6.57,1.99,negative
Surgery,3213,3213.jpg,20,2.96,1.94,6.82,2,negative
MedicalAssist,3216,3216.jpg,15,3.28,1.64,5.37,2,negative
DyingMan,3230,3230.jpg,3,2.02,1.3,5.41,2.21,negative
DentalExam,3280,3280.jpg,5,3.72,1.89,5.39,2.38,negative
DisabledChild,3300,3300.jpg,6,2.74,1.56,4.55,2.06,negative
Attack,3500,3500.jpg,5,2.21,1.34,6.99,2.19,negative
Attack,3530,3530.jpg,6,1.8,1.32,6.82,2.09,negative
Injury,3550,3550.jpg,6,2.54,1.6,5.92,2.13,negative
InjuredMan,3550.1,3550.1.jpg,12,2.35,1.39,6.29,1.96,negative
Tornado,5961,5961.jpg,15,3.52,1.86,5.8,2.37,negative
Tornado,5971,5971.jpg,11,3.49,1.87,6.65,2.02,negative
Tornado,5973,5973.jpg,16,3.51,1.83,5.78,2.27,negative
Jail,6010,6010.jpg,4,3.73,1.98,3.95,1.87,negative
ElectricChair,6020,6020.jpg,4,3.41,1.98,5.58,2.01,negative
Assault,6021,6021.jpg,15,2.21,1.51,6.06,2.38,negative
AimedGun,6200,6200.jpg,1,2.71,1.58,6.21,2.28,negative
AimedGun,6200,6200.jpg,2,3.2,1.62,5.82,1.99,negative
AimedGun,6210,6210.jpg,1,2.95,1.83,6.34,2.14,negative
Attack,6211,6211.jpg,8,3.62,2.07,5.9,2.22,negative
Soldier,6212,6212.jpg,8,2.19,1.49,6.01,2.44,negative
BoysW/Guns,6220,6220.jpg,18,3.1,1.91,5.89,2.43,negative
AimedGun,6230,6230.jpg,2,2.37,1.57,7.35,2.01,negative
AimedGun,6231,6231.jpg,17,2.49,1.54,6.82,2.11,negative
Gun,6241,6241.jpg,9,3.42,1.52,4.54,2.35,negative
Gang,6242,6242.jpg,9,2.69,1.59,5.43,2.36,negative
AimedGun,6243,6243.jpg,10,2.33,1.49,5.99,2.23,negative
AimedGun,6250,6250.jpg,5,2.83,1.79,6.54,2.61,negative
AimedGun,6250.1,6250.1.jpg,12,2.63,1.74,6.92,1.92,negative
AimedGun,6260,6260.jpg,6,2.44,1.54,6.93,1.93,negative
AimedGun,6263,6263.jpg,18,2.48,1.53,6.62,2.23,negative
Knife,6300,6300.jpg,5,2.59,1.66,6.61,1.97,negative
Abduction,6312,6312.jpg,8,2.48,1.52,6.37,2.3,negative
Attack,6313,6313.jpg,7,1.98,1.38,6.94,2.23,negative
BeatenFem,6315,6315.jpg,13,2.31,1.69,6.38,2.39,negative
AimedGun,6410,6410.jpg,1,3.49,2.07,5.89,2.28,negative
Attack,6510,6510.jpg,6,2.46,1.58,6.96,2.09,negative
Attack,6520,6520.jpg,19,1.94,1.27,6.59,2.08,negative
Attack,6530,6530.jpg,6,2.76,1.86,6.18,2.02,negative
Attack,6540,6540.jpg,6,2.19,1.56,6.83,2.14,negative
Attack,6550,6550.jpg,6,2.73,2.38,7.09,1.98,negative
