photo,image_file,set,valence_mean,valence_sd,arousal_mean,arousal_sd,category,condition
People_198_h,People_198_h.jpg,3,2.07,1.13,5.32,2.44,negative,go
Animals_060_h,Animals_060_h.jpg,1,3.08,1.69,4.44,2.06,negative,go
Objects_007_h,Objects_007_h.jpg,1,3.62,1.55,3.69,2.25,negative,go
People_201_v,People_201_v.jpg,1,2.26,1.31,5.05,2.25,negative,go
Objects_154_h,Objects_154_h.jpg,1,3.59,1.52,3.64,1.87,negative,go
Faces_158_h,Faces_158_h.jpg,1,3.28,1.36,3.64,2.10,negative,go
People_217_h,People_217_h.jpg,1,3.08,1.55,4.77,2.28,negative,go
Faces_007_h,Faces_007_h.jpg,2,2.35,1.02,4.52,2.17,negative,go
Landscapes_005_h,Landscapes_005_h.jpg,2,3.73,1.35,3.68,2.16,negative,go
Faces_288_h,Faces_288_h.jpg,1,3.33,1.51,3.82,2.04,negative,go
People_016_h,People_016_h.jpg,3,2.85,1.35,3.80,2.45,negative,go
Animals_001_h,Animals_001_h.jpg,2,3.25,1.18,3.55,2.03,negative,go
Faces_363_v,Faces_363_v.jpg,3,2.20,1.10,4.22,2.12,negative,go
People_223_h,People_223_h.jpg,3,3.51,1.52,4.22,2.39,negative,go
People_202_h,People_202_h.jpg,1,2.79,1.63,5.87,2.27,negative,go
Animals_039_h,Animals_039_h.jpg,1,1.92,1.15,6.33,1.85,negative,go
Faces_351_h,Faces_351_h.jpg,3,6.56,1.43,2.83,1.87,neutral,nogo
Animals_217_h,Animals_217_h.jpg,1,5.79,1.61,2.62,1.6,neutral,nogo
Faces_138_h,Faces_138_h.jpg,3,5.55,1.01,2.2,1.71,neutral,nogo
Animals_085_h,Animals_085_h.jpg,1,5.08,1.64,4.49,2.19,neutral,nogo
