photo,image_file,set,valence_mean,valence_sd,arousal_mean,arousal_sd,category,condition
Animals_122_h,Animals_122_h.jpg,2,6.18,1.06,2.95,1.51,neutral,go
Objects_195_v,Objects_195_v.jpg,1,5.31,1.38,2.34,1.48,neutral,go
Animals_135_v,Animals_135_v.jpg,2,5.12,1.05,2.77,1.94,neutral,go
Animals_009_v,Animals_009_v.jpg,2,5.2,1.41,3.5,2.09,neutral,go
Faces_357_v,Faces_357_v.jpg,1,6.1,1.47,2.87,1.59,neutral,go
Faces_350_h,Faces_350_h.jpg,2,6.49,1.16,2.89,1.73,neutral,go
Landscapes_119_h,Landscapes_119_h.jpg,1,6.03,1.13,2.03,1.28,neutral,go
Animals_089_v,Animals_089_v.jpg,1,5.72,1.17,2.74,1.86,neutral,go
Animals_182_h,Animals_182_h.jpg,2,5.68,1.18,2.57,1.48,neutral,go
Faces_140_h,Faces_140_h.jpg,3,6.12,1.29,2.68,1.86,neutral,go
Faces_340_h,Faces_340_h.jpg,1,6.92,1.42,3.64,2.68,neutral,go
Animals_171_h,Animals_171_h.jpg,3,5.41,1.61,2.9,2.11,neutral,go
Objects_249_v,Objects_249_v.jpg,2,5.18,0.79,2.02,1.21,neutral,go
Faces_088_v,Faces_088_v.jpg,2,6.14,0.98,2.93,1.84,neutral,go
Objects_244_h,Objects_244_h.jpg,2,5.35,1.21,2.75,2,neutral,go
Faces_066_h,Faces_066_h.jpg,1,6.87,1.22,3.23,1.97,neutral,go
Faces_273_h,Faces_273_h.jpg,1,3.72,1.82,3.95,2.06,negative,nogo
Objects_285_h,Objects_285_h.jpg,3,3.17,1.14,3.56,2.12,negative,nogo
People_225_h,People_225_h.jpg,3,3.02,1.17,3.76,2.19,negative,nogo
People_239_h,People_239_h.jpg,1,2.21,1.12,5.74,2.17,negative,nogo
