word,category
Favor,positive
Curious,positive
Gift,positive
Terrific,positive
Thankful,positive
Hopeful,positive
Charm,positive
Grateful,positive
Romantic,positive
Mighty,positive
Pride,positive
Bright,positive
Brave,positive
Reward,positive
Inspire,positive
Silly,positive
Trust,positive
Grin,positive
Applause,positive
Bliss,positive
Riches,positive
Thrill,positive
Talent,positive
Lively,positive
Famous,positive
Reunion,positive
Delight,positive
Glory,positive
Fun,positive
Cheer,positive
Bold,positive
Optimism,positive
