image,valence,arousal,social_content,luminance,contrast,entropy,orientation,valence_mean,valence_sd,arousal_mean,arousal_sd,phase,description,trial_type,gonogo_image
NegHighNonsoc_23,Negative,High,Nonsocial,114.09,91.75,6.99,56078,2.71,1.71,4.29,2.58,real,circle_go,go,circle.png
NegHighSoc_15,Negative,High,Social,94.47,61.73,7.67,77005,2.12,1.44,5.51,2.56,real,circle_go,go,circle.png
NegHighSoc_15,Negative,High,Social,94.47,61.73,7.67,77005,2.12,1.44,5.51,2.56,real,circle_go,go,circle.png
NeutLowNonsoc_6,Neutral,Low,Nonsocial,126.3,62.16,7.76,70491,6.0,1.72,3.94,2.52,real,circle_go,go,circle.png
NegHighNonsoc_23,Negative,High,Nonsocial,114.09,91.75,6.99,56078,2.71,1.71,4.29,2.58,real,circle_go,go,circle.png
NegHighSoc_15,Negative,High,Social,94.47,61.73,7.67,77005,2.12,1.44,5.51,2.56,real,square_nogo,nogo,square.png
NegHighSoc_15,Negative,High,Social,94.47,61.73,7.67,77005,2.12,1.44,5.51,2.56,real,circle_go,go,circle.png
NeutLowNonsoc_6,Neutral,Low,Nonsocial,126.3,62.16,7.76,70491,6.0,1.72,3.94,2.52,real,circle_go,go,circle.png
NeutLowNonsoc_6,Neutral,Low,Nonsocial,126.3,62.16,7.76,70491,6.0,1.72,3.94,2.52,real,square_nogo,nogo,square.png
NeutLowSoc_5,Neutral,Low,Social,120.2,42.21,7.31,55833,6.55,1.63,3.73,2.41,real,circle_go,go,circle.png
NegHighNonsoc_23,Negative,High,Nonsocial,114.09,91.75,6.99,56078,2.71,1.71,4.29,2.58,real,circle_go,go,circle.png
NeutLowSoc_5,Neutral,Low,Social,120.2,42.21,7.31,55833,6.55,1.63,3.73,2.41,real,circle_go,go,circle.png
NeutLowSoc_5,Neutral,Low,Social,120.2,42.21,7.31,55833,6.55,1.63,3.73,2.41,real,square_nogo,nogo,square.png
NegHighSoc_15,Negative,High,Social,94.47,61.73,7.67,77005,2.12,1.44,5.51,2.56,real,circle_go,go,circle.png
NegHighNonsoc_23,Negative,High,Nonsocial,114.09,91.75,6.99,56078,2.71,1.71,4.29,2.58,real,circle_go,go,circle.png
NegHighNonsoc_23,Negative,High,Nonsocial,114.09,91.75,6.99,56078,2.71,1.71,4.29,2.58,real,square_nogo,nogo,square.png
NeutLowSoc_5,Neutral,Low,Social,120.2,42.21,7.31,55833,6.55,1.63,3.73,2.41,real,circle_go,go,circle.png
NeutLowSoc_5,Neutral,Low,Social,120.2,42.21,7.31,55833,6.55,1.63,3.73,2.41,real,circle_go,go,circle.png
NeutLowNonsoc_6,Neutral,Low,Nonsocial,126.3,62.16,7.76,70491,6.0,1.72,3.94,2.52,real,circle_go,go,circle.png
NeutLowNonsoc_6,Neutral,Low,Nonsocial,126.3,62.16,7.76,70491,6.0,1.72,3.94,2.52,real,circle_go,go,circle.png
