image,valence,arousal,social_content,luminance,contrast,entropy,orientation,valence_mean,valence_sd,arousal_mean,arousal_sd,phase,description,trial_type,gonogo_image
NeutLowSoc_9,Neutral,Low,Social,100.94,76.39,7.16,1,6.29,1.61,3.52,2.36,real,square_go,go,square.png
NegHighNonsoc_17,Negative,High,Nonsocial,88.24,69.22,7.73,1,2.6,1.75,5.35,2.7,real,square_go,go,square.png
NeutLowSoc_10,Neutral,Low,Social,141.32,61.06,7.42,1,4.72,1.55,3.35,2.05,real,square_go,go,square.png
NegHighNonsoc_18,Negative,High,Nonsocial,141.17,72.04,7.32,1,1.98,1.41,5.53,2.71,real,square_go,go,square.png
NeutLowNonsoc_23,Neutral,Low,Nonsocial,133.84,23.37,6.14,1,4.44,1.77,4.15,2.38,real,square_go,go,square.png
NegHighSoc_20,Negative,High,Social,159.32,60.86,7.24,1,3.42,2.2,5.84,2.49,real,square_go,go,square.png
NeutLowNonsoc_22,Neutral,Low,Nonsocial,83.37,42.37,7.26,1,5.74,1.56,3.2,2.31,real,circle_nogo,nogo,circle.png
NeutLowSoc_16,Neutral,Low,Social,123.28,89.49,6.91,1,5.3,1.72,3.7,2.26,real,square_go,go,square.png
NeutLowSoc_20,Neutral,Low,Social,128.12,46.36,7.54,1,4.97,1.12,2.69,1.95,real,square_go,go,square.png
NeutLowSoc_14,Neutral,Low,Social,107.27,50.09,6.83,1,4.45,1.45,3.18,2.07,real,square_go,go,square.png
NeutLowNonsoc_5,Neutral,Low,Nonsocial,85.16,52.29,7.34,1,6.38,1.82,3.93,2.5,real,circle_nogo,nogo,circle.png
NegHighSoc_20,Negative,High,Social,159.32,60.86,7.24,1,3.42,2.2,5.84,2.49,real,square_go,go,square.png
NegHighSoc_2,Negative,High,Social,107.21,48.72,7.1,1,2.04,1.51,5.59,2.62,real,square_go,go,square.png
NegHighNonsoc_6,Negative,High,Nonsocial,119.35,38.09,7.03,1,1.49,1.13,6.38,2.81,real,circle_nogo,nogo,circle.png
NegHighSoc_13,Negative,High,Social,86.81,71.24,7.29,1,2.23,1.53,5.79,2.65,real,square_go,go,square.png
NegHighSoc_2,Negative,High,Social,107.21,48.72,7.1,1,2.04,1.51,5.59,2.62,real,square_go,go,square.png
NegHighSoc_2,Negative,High,Social,107.21,48.72,7.1,1,2.04,1.51,5.59,2.62,real,square_go,go,square.png
NegHighSoc_22,Negative,High,Social,114.94,60.29,7.49,1,1.36,1.02,7.05,2.7,real,circle_nogo,nogo,circle.png
NegHighNonsoc_24,Negative,High,Nonsocial,128.2,53.27,7.69,1,2.29,1.81,5.95,2.67,real,square_go,go,square.png
NeutLowNonsoc_19,Neutral,Low,Nonsocial,95.2,57.8,7.51,1,4.55,1.39,2.62,1.96,real,square_go,go,square.png
NegHighSoc_7,Negative,High,Social,114.55,66.72,7.29,1,1.71,1.12,5.95,2.65,real,square_go,go,square.png
NeutLowNonsoc_21,Neutral,Low,Nonsocial,108.45,63.7,6.74,1,4.86,1.29,2.78,1.97,real,square_go,go,square.png
